Site	Left	Right	Strand	Transcription-Units
GerE DNA-binding-site 132.5 bases upstream of PM8J2-161	2148514	2148514	+	cgeAB
GerE DNA-binding-site 133.5 bases upstream of PM8J2-157	1905355	1905355	-	cotC
GerE DNA-binding-site 15.5 bases downstream of PM8J2-137	2652969	2652969	+	spoIVCB-spoIIIC // spoIVCB-spoIIIC
GerE DNA-binding-site 150.0 bases upstream of PM8J2-141	2649819	2649819	-	cwlH
GerE DNA-binding-site 41.0 bases upstream of PM8J2-143	1250584	1250584	-	cotYZ
GerE DNA-binding-site 42.5 bases upstream of PM8J2-145	1252084	1252084	-	cotVWX
GerE DNA-binding-site 45.5 bases upstream of PM8J2-143	1250589	1250589	-	cotYZ
GerE DNA-binding-site 47.0 bases upstream of PM8J2-133	3353996	3353996	+	sspG-yurS
GerE DNA-binding-site 56.0 bases upstream of PM8J2-158	3715977	3715977	-	cotB
GerE DNA-binding-site 56.5 bases upstream of PM8J2-161	2148590	2148590	+	cgeAB
GerE DNA-binding-site 66.5 bases upstream of PM8J2-157	1905288	1905288	-	cotC
GerE DNA-binding-site 67.5 bases upstream of PM8J2-161	2148579	2148579	+	cgeAB
GerE DNA-binding-site 69.5 bases upstream of PM8J2-153	3717122	3717122	+	cotG
GerE DNA-binding-site 7.0 bases downstream of PM8J2-137	2652960	2652960	+	spoIVCB-spoIIIC // spoIVCB-spoIIIC
GerE DNA-binding-site 71.5 bases upstream of PM8J2-158	3715993	3715993	-	cotB
GerE DNA-binding-site 74.5 bases downstream of PM8J2-152	3717123	3717123	-	cotH
GerE DNA-binding-site 74.5 bases upstream of sscAp	1071299	1071310	+	sscA-yhzE-2
GerE DNA-binding-site 83.5 bases upstream of PM8J2-133	3353960	3353960	+	sspG-yurS
GerE DNA-binding-site 84.5 bases upstream of PM8J2-161	2148562	2148562	+	cgeAB
GerE DNA-binding-site regulating cotM-P1	1926100	1926100	-	cotM
GerE DNA-binding-site regulating oxdDp			-	oxdD
GerE DNA-binding-site regulating PM8J2-101			+	yxeE
GerE DNA-binding-site regulating PM8J2-138			-	gerPABCDEF
GerE DNA-binding-site regulating PM8J2-148	602773	602773	-	ydgBA-cotP
GerE DNA-binding-site regulating PM8J2-149			+	yozR
GerE DNA-binding-site regulating PM8J2-159			-	cotA
GerE DNA-binding-site regulating yjcZp			+	yjcZ // yjcZ-spoVIF
GerR DNA-binding-site regulating PM8J2-143			-	cotYZ
GerR DNA-binding-site regulating PM8J2-153			+	cotG
GerR DNA-binding-site regulating PM8J2-161			+	cgeAB
GerR DNA-binding-site regulating PM8J2-345			-	spoIIP-yqxA
GerR DNA-binding-site regulating PM8J2-346			-	spoIIM
GerR DNA-binding-site regulating PM8J2-944			-	yqhV-spoIIIAABCDEFGH
GlcR DNA-binding-site 33.5 bases upstream of glcRp	3740005	3740087	-	glcR-phoC
GlcT DNA-binding-site regulating ptsGp			+	ptsGHI
GlnK DNA-binding-site 34.5 bases upstream of PM8J2-706	265304	265304	-	ybgJ-ybgH
GlnR DNA-binding-site 15.0 bases downstream of ureA-P3	3769933	3769933	-	ureABC
GlnR DNA-binding-site 27.0 bases upstream of PM8J2-711	1877908	1877908	+	glnRA
GlnR DNA-binding-site 50.0 bases upstream of nasBp	362847	362847	-	nasBCDEF
GlnR DNA-binding-site 50.0 bases upstream of PM8J2-648	362847	362847	+	nasA
GlnR DNA-binding-site 50.0 bases upstream of PM8J2-711	1877885	1877885	+	glnRA
GlnR DNA-binding-site 91.0 bases upstream of ureA-P3	3770038	3770038	-	ureABC
GlpP DNA-binding-site 24.0 bases downstream of PM8J2-709	1002377	1002377	+	glpFK
GlpP DNA-binding-site 25.5 bases downstream of PM8J2-710	1004885	1004885	+	glpD
GlpP DNA-binding-site 38.0 bases downstream of PM8J2-707	235446	235446	-	glpTQ
GltC DNA-binding-site 12.0 bases downstream of PM8J2-703	2014750	2014750	+	gltC
GltC DNA-binding-site 35.5 bases upstream of PM8J2-705	2014724	2014724	-	gltAB
GltR DNA-binding-site 20.0 bases downstream of PM8J2-704	2725810	2725810	+	gltR
GltR DNA-binding-site 3.0 bases upstream of PM8J2-704	2725788	2725788	+	gltR
GltR DNA-binding-site 42.0 bases upstream of PM8J2-705	2014730	2014730	-	gltAB
GltR DNA-binding-site 64.0 bases upstream of PM8J2-705	2014752	2014752	-	gltAB
GntR DNA-binding-site 1.5 bases downstream of gntR-P1	4113384	4113384	+	gntRKPZ
GutR DNA-binding-site 64.0 bases upstream of PM8J2-693	667338	667338	+	gutBP
Hbs DNA-binding-site regulating hbs-P3			-	hbs
HrcA DNA-binding-site 18.0 bases downstream of PM8J2-698	649854	649854	+	groESL
HtrA DNA-binding-site 51.0 bases upstream of PM8J2-685	1359396	1359396	-	htrA
HxlR DNA-binding-site regulating PM8J2-835			-	hxlAB
ImmR DNA-binding-site 13 bases downstream of xisp	531750	531770	+	xis-ydzL-devI-helP-conQ-nicK-ydcST-yddA-conBCDE-yddF-conG-cwlT-yddIJ
ImmR DNA-binding-site 19 bases upstream of xisp	531719	531739	+	xis-ydzL-devI-helP-conQ-nicK-ydcST-yddA-conBCDE-yddF-conG-cwlT-yddIJ
ImmR DNA-binding-site 48 bases upstream of xisp	531690	531710	+	xis-ydzL-devI-helP-conQ-nicK-ydcST-yddA-conBCDE-yddF-conG-cwlT-yddIJ
ImmR DNA-binding-site regulating immRp	531616	531636	-	immRA-int
IolR DNA-binding-site 29.5 bases upstream of PM8J2-680	4084741	4084741	+	iolRS
IolR DNA-binding-site 43.0 bases downstream of PM8J2-678	676196	676196	+	ydjK
IolR DNA-binding-site 6.5 bases downstream of PM8J2-655	4084569	4084569	-	mmsA-iolBCDEF-idh-iolHI-fbaB
IolR DNA-binding-site 68.5 bases upstream of PM8J2-680	4084702	4084702	+	iolRS
IolR DNA-binding-site 76.0 bases upstream of PM8J2-655	4084650	4084650	-	mmsA-iolBCDEF-idh-iolHI-fbaB
KdgR DNA-binding-site regulating PM8J2-677			-	kdgRKAT
LevR DNA-binding-site 127.0 bases upstream of PM8J2-99	2762989	2762989	-	levDEFG-sacC
LevR DNA-binding-site 80.5 bases upstream of PM8J2-99	2762943	2762943	-	levDEFG-sacC
LexA DNA-binding-site 112.5 bases upstream of PM8J2-218	155977	155977	+	ybaK-cwlD
LexA DNA-binding-site 145.5 bases upstream of PM8J2-791	1862884	1862884	-	aprX
LexA DNA-binding-site 35.5 bases upstream of sdap	2647337	2647337	+	sda
LexA DNA-binding-site 48.5 bases upstream of PM8J2-594	1764566	1764566	+	recA
LexA DNA-binding-site regulating PM8J2-1016 (BS8J2-522)	2465822	2465822	+	yqzH
LexA DNA-binding-site regulating PM8J2-1016 (BS8J2-523)	2465850	2465850	+	yqzH
LexA DNA-binding-site regulating PM8J2-1017 (BS8J2-525)	2465835	2465835	-	yqjWX
LexA DNA-binding-site regulating PM8J2-1017 (BS8J2-526)	2465863	2465863	-	yqjWX
LexA DNA-binding-site regulating PM8J2-1018	2561462	2561462	+	yqhB
LexA DNA-binding-site regulating PM8J2-1019	2432258	2432258	-	ypuD
LexA DNA-binding-site regulating PM8J2-1020 (BS8J2-529)	2064939	2064939	+	yozM
LexA DNA-binding-site regulating PM8J2-1020 (BS8J2-530)	2064909	2064909	+	yozM
LexA DNA-binding-site regulating PM8J2-1021 (BS8J2-531)	2064922	2064922	-	yozLK-yobH
LexA DNA-binding-site regulating PM8J2-1021 (BS8J2-532)	2064952	2064952	-	yozLK-yobH
LexA DNA-binding-site regulating PM8J2-1022	2188197	2188197	-	yorBC
LexA DNA-binding-site regulating PM8J2-1023 (BS8J2-534)	2272036	2272036	-	yolD-uvrX
LexA DNA-binding-site regulating PM8J2-1023 (BS8J2-535)	2272066	2272066	-	yolD-uvrX
LexA DNA-binding-site regulating PM8J2-1024 (BS8J2-536)	2272053	2272053	+	yolC
LexA DNA-binding-site regulating PM8J2-1024 (BS8J2-537)	2272023	2272023	+	yolC
LexA DNA-binding-site regulating PM8J2-1025	1447134	1447134	+	ykvR
LexA DNA-binding-site regulating PM8J2-1026	1121426	1121426	+	yhjE-sipV
LexA DNA-binding-site regulating PM8J2-1027	1121439	1121439	-	yhjD
LexA DNA-binding-site regulating PM8J2-1028	1056275	1056275	-	yhaZ
LexA DNA-binding-site regulating PM8J2-1029	1064790	1064790	+	yhaONM
LexA DNA-binding-site regulating PM8J2-1030	655166	655166	+	ydiOP
LexA DNA-binding-site regulating PM8J2-1031	608813	608813	+	ydgGH
LexA DNA-binding-site regulating PM8J2-1032			-	xkdA
LexA DNA-binding-site regulating PM8J2-1033	2912953	2912953	-	uvrC
LexA DNA-binding-site regulating PM8J2-1034	3615029	3615029	-	uvrBA
LexA DNA-binding-site regulating PM8J2-1035	2836855	2836855	-	ruvAB
LexA DNA-binding-site regulating PM8J2-1037	1933265	1933265	+	parEC
LexA DNA-binding-site regulating PM8J2-1038 (BS8J2-557)	1918401	1918401	-	lexA
LexA DNA-binding-site regulating PM8J2-1038 (BS8J2-558)	1918364	1918364	-	lexA
LexA DNA-binding-site regulating PM8J2-1038 (BS8J2-559)	1918335	1918335	-	lexA
LexA DNA-binding-site regulating PM8J2-1040	2994698	2994698	-	dnaE
LexA DNA-binding-site regulating PM8J2-1041 (BS8J2-561)	3683377	3683377	+	tagC
LexA DNA-binding-site regulating PM8J2-1041 (BS8J2-562)	3683347	3683347	+	tagC
LexA DNA-binding-site regulating PM8J2-1042	608826	608826	-	dinB
LexA DNA-binding-site regulating PM8J2-412	2561475	2561475	-	yqxL
LexA DNA-binding-site regulating PM8J2-873	3907661	3907661	+	vpr
LexA DNA-binding-site regulating PM8J2-903 (BS8J2-538)	1918388	1918388	+	yneAB-ynzC
LexA DNA-binding-site regulating PM8J2-903 (BS8J2-539)	1918351	1918351	+	yneAB-ynzC
LexA DNA-binding-site regulating PM8J2-903 (BS8J2-540)	1918322	1918322	+	yneAB-ynzC
LiaR DNA-binding-site 65.0 bases upstream of liaIp	3399021	3399021	-	liaIH // liaIHGFSR
LiaR DNA-binding-site 65.5 bases upstream of yhcYp	1008577	1008577	+	yhcYZ-yhdA
LiaR DNA-binding-site 66.5 bases upstream of ydhEp	617971	617987	+	ydhE
LicR DNA-binding-site regulating PM8J2-672			-	licBCAH
LicT DNA-binding-site 41.0 bases downstream of bglPp	4035776	4035776	-	bglPH-yxiE
LmrA DNA-binding-site 0.5 bases upstream of lmrAp	290741	290741	-	lmrAB
LmrA DNA-binding-site 26.5 bases upstream of qdoIp	4107300	4107332	-	qdoI-yxaH
LmrA DNA-binding-site 6 bases downstream of qdoIp	4107269	4107300	-	qdoI-yxaH
LrpA DNA-binding-site regulating PM8J2-701			-	glyA
LrpB DNA-binding-site regulating PM8J2-701			-	glyA
LrpC DNA-binding-site 127.0 bases upstream of lrpC-P1	475906	475906	+	lrpC
MalR DNA-binding-site 34.0 bases upstream of yflSp	829309	829309	+	yflS
MalR DNA-binding-site 54.5 bases upstream of PM8J2-663	3244689	3244689	+	maeN
MalR DNA-binding-site 59.0 bases upstream of PM8J2-16	3802304	3802304	-	ywkAB
MalR DNA-binding-site regulating PM8J2-662			+	malA-yfiA-malP
Med DNA-binding-site regulating PM8J2-756			+	comK
MelR DNA-binding-site 24 bases downstream of melRp	3096741	3096768	+	melREDCA
MelR DNA-binding-site 73 bases upstream of melRp	3096644	3096673	+	melREDCA
MhqR DNA-binding-site 10.5 bases downstream of PM8J2-470	2130016	2130016	-	mhqED
MhqR DNA-binding-site 40.0 bases downstream of PM8J2-469	1353050	1353050	+	mhqA
MhqR DNA-binding-site 45.0 bases upstream of PM8J2-471	3446203	3446203	-	yvaB
MhqR DNA-binding-site 73.0 bases downstream of PM8J2-468	596392	596392	+	mhqNOP
MntR DNA-binding-site 35 bases upstream of mnePp	596107	596124	-	mneP
MntR DNA-binding-site 35 bases upstream of mneSp	686890	686907	+	mneS
MntR DNA-binding-site 54 bases upstream of mnePp	596126	596143	-	mneP
MntR DNA-binding-site 54 bases upstream of mneSp	686871	686888	+	mneS
MntR DNA-binding-site 92 bases upstream of mnePp	596164	596181	-	mneP
MntR DNA-binding-site 92 bases upstream of mneSp	686833	686850	+	mneS
Mta DNA-binding-site 24.0 bases upstream of PM8J2-653	3764945	3764945	-	mta
Mta DNA-binding-site 24.5 bases upstream of PM8J2-780	2716880	2716880	+	blt-bltD
Mta DNA-binding-site regulating PM8J2-520			-	ydfK
NadR DNA-binding-site 14.5 bases upstream of PM8J2-645	2849518	2849518	+	nifS-yrxA
NadR DNA-binding-site 20.5 bases upstream of PM8J2-651	2849518	2849518	-	nadBCA
NagR DNA-binding-site 28.5 bases upstream of nagPp	840590	840606	+	nagP
NagR DNA-binding-site 33.5 bases upstream of nagAp	3595286	3595302	+	nagABR
NrdR DNA-binding-site regulating PM8J2-506			+	nrdIEF-ymaB
NsrR DNA-binding-site 31 bases upstream of nasDp	358234	358251	-	nasDEF
NtdR DNA-binding-site regulating ntdAp			-	ntdABC-glcP
OhrR DNA-binding-site 12.5 bases upstream of PM8J2-513	1380939	1380939	+	yklA
OpcR DNA-binding-site 34 bases upstream of opuBAp	3463342	3463364	-	opuBABCD
OpcR DNA-binding-site regulating opuCABCD	3471069	3471091	-	opuCABCD
PadR DNA-binding-site 1 bases downstream of padCp	3533309	3533351	-	yveFG-padC
PamR DNA-binding-site 15.5 bases upstream of ydcFp	524303	524321	+	ydcFGH
PamR DNA-binding-site 7.5 bases downstream of ydcFp	524325	524343	+	ydcFGH
PchR DNA-binding-site regulating pchRp (BS8J2-17807)	3604906	3604957	+	pchR-yvmA
PchR DNA-binding-site regulating pchRp (BS8J2-17809)			+	pchR-yvmA
PchR DNA-binding-site regulating yisIp			-	yisI
PchR DNA-binding-site regulating yvmCp	3604716	3604758	-	yvmC-cypX
PchR DNA-binding-site regulating yvnB			-	yvnB
PerR DNA-binding-site 0.5 bases upstream of PM8J2-630	944440	944440	+	perR
PerR DNA-binding-site 138.0 bases upstream of PM8J2-550	376540	376540	+	srfAA-srfAB-comS-srfAC-srfAD
PerR DNA-binding-site 17.5 bases downstream of spxAp	1227617	1227654	+	spxA
PerR DNA-binding-site 33.5 bases upstream of PM8J2-654	3383504	3383504	+	mrgA
PerR DNA-binding-site 45.0 bases upstream of PM8J2-720	2450362	2450362	-	fur
PerR DNA-binding-site 5.5 bases upstream of PM8J2-800	4118881	4118881	+	ahpCF
PerR DNA-binding-site 50.0 bases upstream of PM8J2-509	1451214	1451214	+	ykvW
PerR DNA-binding-site 8.0 bases downstream of PM8J2-630	944447	944447	+	perR
PerR DNA-binding-site regulating PM8J2-689 (BS8J2-434)	2879189	2879189	-	hemAXCDBL
PerR DNA-binding-site regulating PM8J2-689 (BS8J2-435)	2879219	2879219	-	hemAXCDBL
PerR DNA-binding-site regulating PM8J2-985	961071	961071	-	katA
PhoP DNA-binding-site 145.0 bases downstream of PM8J2-548	3680947	3680947	-	tagDEF
PhoP DNA-binding-site 25.5 bases upstream of tuaAp	3658959	3658965	-	tuaABCDEFGH
PhoP DNA-binding-site 27.5 bases upstream of PM8J2-549	3681268	3681268	+	tagAB
PhoP DNA-binding-site 36.5 bases upstream of tuaAp	3658970	3658976	-	tuaABCDEFGH
PhoP DNA-binding-site 39.0 bases upstream of PM8J2-593	2421413	2421413	-	resABCDE
PhoP DNA-binding-site 40.5 bases upstream of PM8J2-615	2581699	2581699	-	pst
PhoP DNA-binding-site 41.5 bases upstream of PM8J2-79	283943	283943	+	phoD
PhoP DNA-binding-site 42.5 bases downstream of PM8J2-549	3681337	3681337	+	tagAB
PhoP DNA-binding-site 46.5 bases upstream of PM8J2-548	3681138	3681138	-	tagDEF
PhoP DNA-binding-site 47.5 bases upstream of tuaAp	3658981	3658987	-	tuaABCDEFGH
PhoP DNA-binding-site 53.5 bases upstream of PM8J2-627	1018541	1018541	-	phoA
PhoP DNA-binding-site 57.5 bases upstream of tuaAp	3658991	3658997	-	tuaABCDEFGH
PhoP DNA-binding-site 92.5 bases downstream of PM8J2-548	3681000	3681000	-	tagDEF
PhoP DNA-binding-site 97.0 bases downstream of PM8J2-549	3681391	3681391	+	tagAB
PhoP DNA-binding-site regulating PM8J2-320			+	yhbH
PhoP DNA-binding-site regulating PM8J2-527			+	skf
PhoP DNA-binding-site regulating PM8J2-819			-	yttP
PhoP DNA-binding-site regulating PM8J2-869			+	yurI
PhoP DNA-binding-site regulating PM8J2-871	1270170	1270170	-	yjdB
PhoP DNA-binding-site regulating PM8J2-872	859571	859571	-	yfkN
PhoP DNA-binding-site regulating PM8J2-873			+	vpr
phosphorylated ManR transcription activator DNA-binding-site 53.5 bases upstream of manPp	1272614	1272658	+	manPA-yjdF
phosphorylated ManR transcription activator DNA-binding-site 53.5 bases upstream of manRp	1270486	1270530	+	manR
PsdR DNA-binding-site regulating psdAp	3566355	3566375	-	psdAB
PucR DNA-binding-site 54.5 bases upstream of PM8J2-695	1383226	1383226	-	guaD
PucR DNA-binding-site 63.5 bases upstream of pucFp	3343761	3343761	-	pucFG
PucR DNA-binding-site 66.0 bases upstream of ureA-P3	3770013	3770013	-	ureABC
PucR DNA-binding-site 71.0 bases upstream of PM8J2-608	3753885	3753885	-	ywoE
PucR DNA-binding-site 72.0 bases upstream of PM8J2-609	3328726	3328726	-	pucH
PucR DNA-binding-site regulating PM8J2-611			-	pucABCDE
PurR DNA-binding-site 59.5 bases upstream of PM8J2-605	698311	698311	+	purEKBCSQLFMNHD
PurR DNA-binding-site 61.5 bases upstream of PM8J2-606	4156831	4156831	-	purA
PurR DNA-binding-site 71.0 bases upstream of xptp	2320281	2320281	-	xpt-pbuX
PurR DNA-binding-site 77.5 bases upstream of pyrRp	1618077	1618077	+	pyrRPBCAAABKDFE
PurR DNA-binding-site 90.5 bases upstream of PM8J2-701	3790571	3790571	-	glyA
PurR DNA-binding-site regulating PM8J2-978	3068874	3068874	+	ytiP
PurR DNA-binding-site regulating PM8J2-979	54405	54405	+	purR-yabJ
PurR DNA-binding-site regulating PM8J2-980	694363	694363	+	pbuG
PurR DNA-binding-site regulating PM8J2-981	2529832	2529832	-	nusB-folD
PurR DNA-binding-site regulating PM8J2-982	3303006	3303006	+	guaC
PutR-Pro DNA-binding-site 68 bases upstream of putBp	344418	344468	+	putBCP
PxpR DNA-binding-site regulating PM8J2-845			+	ycsFGI-kipIAR-ycsK
QdoR DNA-binding-site 29.5 bases upstream of qdoIp	4107310	4107328	-	qdoI-yxaH
QdoR DNA-binding-site 3.5 bases downstream of qdoIp	4107278	4107296	-	qdoI-yxaH
QdoR DNA-binding-site 3.5 bases downstream of qdoRp	4107952	4107970	-	qdoR
RemA DNA-binding-site 115 bases upstream of opuAp	320851	320898	+	opuAABC
RemA DNA-binding-site 80 bases upstream of epsp	3529963	3530020	-	eps
RemA DNA-binding-site 82 bases upstream of tapAp	2555360	2555419	-	tapA-sipW-tasA
ResD DNA-binding-site 56.5 bases upstream of PM8J2-506	1868513	1868513	+	nrdIEF-ymaB
ResD DNA-binding-site 59.0 bases upstream of PM8J2-83	1372694	1372694	+	hmp
ResD DNA-binding-site 7.0 bases downstream of ctaA-Ps	1558976	1558976	-	ctaA // ctaA
ResD DNA-binding-site 82.5 bases upstream of cydAp	3979473	3979473	-	cydABCD
ResD DNA-binding-site 95.5 bases upstream of ctaA-Ps	1559078	1559078	-	ctaA // ctaA
ResD DNA-binding-site regulating nasDp			-	nasDEF
ResD DNA-binding-site regulating PM8J2-593			-	resABCDE
ResD DNA-binding-site regulating PM8J2-602			-	qcrABC
ResD DNA-binding-site regulating PM8J2-674			+	ldh-lctP
ResD DNA-binding-site regulating PM8J2-688			+	hemZ
ResD DNA-binding-site regulating PM8J2-867	1559177	1559177	+	ctaBCDEFG
ResD DNA-binding-site regulating roxSp			+	roxS
ResD DNA-binding-site regulating sboAp			+	sboAX-albABCDEFG
ResD-P DNA-binding-site 84 bases upstream of yclJp	426453	426474	+	yclJK-rapC-phrC
Rex DNA-binding-site 119.5 bases downstream of cydAp	3979272	3979272	-	cydABCD
Rex DNA-binding-site 15.5 bases upstream of PM8J2-674	329700	329700	+	ldh-lctP
Rex DNA-binding-site 151.5 bases downstream of cydAp	3979240	3979240	-	cydABCD
Rex DNA-binding-site 156 bases downstream of yjlCp	1298499	1298521	+	yjlC-ndh
Rex DNA-binding-site 19.5 bases downstream of PM8J2-674	329734	329734	+	ldh-lctP
Rex DNA-binding-site 31.5 bases downstream of roxSp	1233427	1233445	+	roxS
Rex DNA-binding-site 41.5 bases upstream of PM8J2-797	3711436	3711436	-	alsSD
Rex DNA-binding-site 84.5 bases downstream of cydAp	3979307	3979307	-	cydABCD
Rex DNA-binding-site regulating PM8J2-490	3905278	3905278	+	ywcJ
RghR DNA-binding-site 134.5 bases upstream of rapHp	750794	750794	+	rapH-phrH
RghR DNA-binding-site 41.0 bases upstream of PM8J2-597	4140174	4140174	+	rapG-phrG
RghR DNA-binding-site 61.0 bases upstream of rapHp	750867	750867	+	rapH-phrH
RghR DNA-binding-site regulating PM8J2-26			+	rapD // rapD
RghR DNA-binding-site regulating PM8J2-975			+	yvaM
RhaR DNA-binding-site 7 bases upstream of rhaEWp	3203945	3204000	-	rhaEWRBMA
Rho DNA-binding-site regulating trpEp			-	trpEDCFBA-hisC-tyrA-aroE
RocR DNA-binding-site 120.0 bases upstream of PM8J2-96	4145673	4145673	-	rocDEF
RocR DNA-binding-site 159.0 bases upstream of PM8J2-97	3880709	3880709	-	rocABC
RocR DNA-binding-site 205.5 bases upstream of PM8J2-97	3880756	3880756	-	rocABC
RocR DNA-binding-site 40.0 bases upstream of PM8J2-589	4145673	4145673	+	rocR
RocR DNA-binding-site 79.0 bases upstream of PM8J2-96	4145632	4145632	-	rocDEF
RocR DNA-binding-site regulating PM8J2-95 (BS8J2-113)			-	rocG
RocR DNA-binding-site regulating PM8J2-95 (BS8J2-114)			-	rocG
Rok DNA-binding-site regulating PM8J2-756			+	comK
Rok DNA-binding-site regulating PM8J2-831			-	sunT-bdbA-yolJ-bdbB
Rok DNA-binding-site regulating PM8J2-921			+	rok
Rok DNA-binding-site regulating PM8J2-970			+	sdp
Rok DNA-binding-site regulating PM8J2-971			-	yxaJL
Rok DNA-binding-site regulating PM8J2-972			+	yjcN
Rok DNA-binding-site regulating PM8J2-973			+	yybNMLKJ
Rok DNA-binding-site regulating sboAp			+	sboAX-albABCDEFG
Rok DNA-binding-site regulating sunAp			-	sunAT-bdbA-yolJ-bdbB
RsfA DNA-binding-site regulating PM8J2-270			-	spoIIR
RsfA DNA-binding-site regulating PM8J2-273			+	rsfA
RsfA DNA-binding-site regulating PM8J2-275			+	katX
RsfA DNA-binding-site regulating PM8J2-276			-	gpr
SacT DNA-binding-site 40.0 bases downstream of PM8J2-574	3941986	3941986	+	sacXY
SacT DNA-binding-site 42.0 bases downstream of PM8J2-575	3905138	3905138	-	sacPA-ywdA
SacT DNA-binding-site 75.0 bases downstream of PM8J2-576	3535887	3535887	+	sacB-yveBA
SacY DNA-binding-site 40.0 bases downstream of PM8J2-574	3941986	3941986	+	sacXY
SacY DNA-binding-site 42.0 bases downstream of PM8J2-575	3905138	3905138	-	sacPA-ywdA
SacY DNA-binding-site 75.0 bases downstream of PM8J2-576	3535887	3535887	+	sacB-yveBA
SalA DNA-binding-site regulating scoCp			-	scoC
ScoC DNA-binding-site 140.5 bases upstream of sinI-P2 (RNAII)	2552253	2552253	+	sinIR // sinIR
ScoC DNA-binding-site 24.5 bases upstream of PM8J2-792	1105651	1105651	-	aprE
ScoC DNA-binding-site 279.5 bases upstream of PM8J2-792	1105906	1105906	-	aprE
ScoC DNA-binding-site 309.5 bases upstream of PM8J2-792	1105936	1105936	-	aprE
ScoC DNA-binding-site 318.0 bases upstream of eprp	3939523	3939523	+	epr
ScoC DNA-binding-site 68.5 bases upstream of sinI-P2 (RNAII)	2552325	2552325	+	sinIR // sinIR
ScoC DNA-binding-site 69.0 bases upstream of PM8J2-792	1105695	1105695	-	aprE
ScoC DNA-binding-site regulating appDFABC			+	appDFABC
ScoC DNA-binding-site regulating PM8J2-848			+	oppABCDF
ScoC DNA-binding-site regulating PM8J2-884 (BS8J2-155)	417763	417763	-	yclF
ScoC DNA-binding-site regulating PM8J2-884 (BS8J2-156)	417791	417791	-	yclF
SdpR DNA-binding-site 1.5 bases downstream of PM8J2-568	3467384	3467384	-	sdpRI
SenS DNA-binding-site regulating PM8J2-860			+	senS
SenS DNA-binding-site regulating scoCp			-	scoC
SinR DNA-binding-site 12 bases upstream of degUp3	3645320	3645327	-	degU
SinR DNA-binding-site 12.0 bases downstream of tapAp	2555296	2555296	-	tapA-sipW-tasA
SinR DNA-binding-site 143.5 bases upstream of epsp	3530055	3530055	-	eps
SinR DNA-binding-site 242.5 bases upstream of PM8J2-792	1105869	1105869	-	aprE
SinR DNA-binding-site 391.0 bases upstream of eprp	3939450	3939450	+	epr
SinR DNA-binding-site 60.5 bases upstream of epsp	3529972	3529972	-	eps
SinR DNA-binding-site 66.0 bases upstream of tapAp	2555373	2555373	-	tapA-sipW-tasA
SinR DNA-binding-site regulating mstXp			+	mstX-yugO
SinR DNA-binding-site regulating PM8J2-921			+	rok
SplA DNA-binding-site regulating splA-P1			+	splAB
Spo0A DNA-binding-site 107.0 bases upstream of sinI-P2 (RNAII)	2552286	2552286	+	sinIR // sinIR
Spo0A DNA-binding-site 11.0 bases downstream of PM8J2-30	3952081	3952081	+	dltABCDE
Spo0A DNA-binding-site 11.5 bases upstream of spo0A-P2	2518883	2518883	-	spo0A
Spo0A DNA-binding-site 121.0 bases upstream of PM8J2-553	70388	70388	+	spoIIE
Spo0A DNA-binding-site 15.5 bases upstream of PM8J2-675	1518293	1518293	+	kinC
Spo0A DNA-binding-site 16.5 bases upstream of yuxHp	3259316	3259316	-	yuxH
Spo0A DNA-binding-site 20.5 bases downstream of abrB-P2	45188	45188	-	abrB
Spo0A DNA-binding-site 23.0 bases downstream of kinAp	1469991	1469991	+	kinA
Spo0A DNA-binding-site 30.5 bases upstream of PM8J2-527	213858	213858	+	skf
Spo0A DNA-binding-site 32.0 bases downstream of spo0F-P2	3809935	3809935	-	spo0F
Spo0A DNA-binding-site 32.5 bases upstream of PM8J2-552	1603702	1603702	+	spoIIGA-sigE-sigG
Spo0A DNA-binding-site 38.0 bases upstream of PM8J2-553	70471	70471	+	spoIIE
Spo0A DNA-binding-site 46.5 bases upstream of PM8J2-552	1603688	1603688	+	spoIIGA-sigE-sigG
Spo0A DNA-binding-site 55.0 bases downstream of PM8J2-557	2518976	2518976	-	spo0A
Spo0A DNA-binding-site 67.5 bases upstream of spo0F-P2	3810034	3810034	-	spo0F
Spo0A DNA-binding-site 74.0 bases upstream of PM8J2-553	70435	70435	+	spoIIE
Spo0A DNA-binding-site 77.5 bases upstream of PM8J2-552	1603657	1603657	+	spoIIGA-sigE-sigG
Spo0A DNA-binding-site 8.0 bases downstream of PM8J2-557	2519023	2519023	-	spo0A
Spo0A DNA-binding-site 93.0 bases upstream of PM8J2-552	1603641	1603641	+	spoIIGA-sigE-sigG
Spo0A DNA-binding-site 95.0 bases upstream of PM8J2-553	70414	70414	+	spoIIE
Spo0A DNA-binding-site regulating dnaA-TR3			+	dnaAN
Spo0A DNA-binding-site regulating eprp			+	epr
Spo0A DNA-binding-site regulating PM8J2-1046			+	metS
Spo0A DNA-binding-site regulating PM8J2-156			-	cotD
Spo0A DNA-binding-site regulating PM8J2-163			+	racA
Spo0A DNA-binding-site regulating PM8J2-503			-	yocH
Spo0A DNA-binding-site regulating PM8J2-601			+	rapA-phrA
Spo0A DNA-binding-site regulating PM8J2-811	2989682	2989690	-	accDA
Spo0A DNA-binding-site regulating PM8J2-812			+	yerBC
Spo0A DNA-binding-site regulating PM8J2-813			-	yqxIJ
