bnum,Promoter,strand,tss,detection,reads,translation_start,utr_len
b4242,mgtA,+,4465386,D,121,4465648,262
b4255,rraB,+,4476468,D,121,4476496,28
b4268,idnk,+,4492620,D,2,4492646,26
b4624,ryjB,+,4526000,D,84,4526000,0
b4312,fimB,+,4538690,D,3,4538980,290
b4312,fimB,+,4538832,D,11,4538980,148
b4313,fimE,+,4539894,D,2,4540060,166
b4314,fimA,+,4540717,ND,,4541138,421
b4322,uxuA,+,4549541,D,26,4549659,118
b4625,symR,+,4577858,D,126,4577858,0
b4355,tsr,+,4589656,D,559,4589680,24
b4365,yjjQ,+,4601342,ND,,4601500,158
b4372,holD,+,4605804,D,19,4605826,22
b4376,osmY,+,4609176,D,215,4609419,243
b4381,deoC,+,4614702,ND,,4615346,644
b4381,deoC,+,4615301,D,51,4615346,45
b4383,deoB,+,4617590,D,32,4617626,36
b4388,serB,+,4622879,D,66,4622918,39
b4393,trpR,+,4630727,D,39,4630783,56
b4397,creA,+,4633266,D,1,4633544,278
b4400,creD,+,4636183,ND,,4636201,18
b0023,rpsT,-,21120,D,5635,21078,42
b0023,rpsT,-,21210,D,7211,21078,132
b0050,apaG,-,52034,D,303,51606,428
b0051,ksgA,-,52588,D,132,52430,158
b0054,imp,-,57156,D,22,57109,47
b0054,imp,-,57241,D,528,57109,132
b0054,imp,-,57336,D,2,57109,227
b0059,hepA,-,63358,D,123,63264,94
b0059,hepA,-,63588,D,7,63264,324
b0063,araB,-,70075,D,2,70048,27
G0-9381,sroA,-,75608,D,12,75608,0
b0075,leuL,-,83735,D,712,83708,27
b0112,aroP,-,121650,D,179,121551,99
b0112,aroP,-,121671,D,37,121551,120
b0122,yacC,-,136940,D,19,136917,23
b0124,gcd,-,141263,D,10,141225,38
b0124,gcd,-,141279,ND,,141225,54
b0126,can,-,142703,D,970,142670,33
b0140,ecpD,-,156214,D,1,156201,13
b0140,ecpD,-,156224,ND,,156201,23
b0140,ecpD,-,156235,ND,,156201,34
b0143,pcnB,-,159151,D,32,159126,25
b0143,pcnB,-,159171,D,134,159126,45
b0143,pcnB,-,159195,D,11,159126,69
b0145,dksA,-,160658,D,257,160604,54
b0145,dksA,-,160722,ND,,160604,118
b0154,hemL,-,174921,D,6,174882,39
b0159,mtn,-,179183,D,180,179153,30
b0166,dapD,-,185977,D,612,185947,30
b0194,proS,-,218837,D,2568,218775,62
b0219,yafV,-,240216,D,4,240189,27
b0237,pepD,-,255737,D,1,255716,21
b0237,pepD,-,255776,D,1108,255716,60
b0237,pepD,-,255809,D,407,255716,93
b0252,yafZ,-,267250,ND,,267229,21
b0292,matC,-,309300,ND,,309250,50
b0292,matC,-,309343,ND,,309250,93
b0313,betI,-,328585,D,7,328558,27
b0338,cynR,-,357933,D,8,357914,19
b0344,lacZ,-,365567,D,10,365529,38
b0344,lacZ,-,365582,ND,,365529,53
b0344,lacZ,-,365589,ND,,365529,60
b0344,lacZ,-,365601,D,2,365529,72
b0346,mhpR,-,367752,D,26,367644,108
b0376,ampH,-,395543,D,88,395511,32
b0376,ampH,-,395587,D,46,395511,76
b0386,proC,-,404910,D,275,404868,42
b0396,araJ,-,411753,D,6,411705,48
b0411,tsx,-,431315,D,104,431237,78
b0411,tsx,-,431469,D,1,431237,232
b0427,yajR,-,445911,D,8,445890,21
b0432,cyoA,-,450877,D,2993,450834,43
b0452,tesB,-,474425,D,20,474385,40
b0458,ylaC,-,478512,D,50,478475,37
b0461,ybaJ,-,480018,D,75,479932,86
b0462,acrB,-,483909,ND,,483627,282
b0476,aeS,-,499275,ND,,499197,78
b0478,ybaL,-,502519,D,10,502462,57
b0484,copA,-,510635,D,2761,510603,32
b0492,ybbN,-,517714,ND,,517503,211
b0504,allS,-,531524,ND,,531445,79
b0529,folD,-,557004,D,73,556964,40
b0553,nmpC,-,576093,D,84,573809,2284
b0557,borD,-,578144,D,1355,578116,28
b0565,ompT,-,584888,D,116732,584856,32
b0571,cusR,-,594685,D,2,594666,19
b0590,fepD,-,621415,D,3,621412,3
b0592,fepB,-,623950,D,80,623733,217
b0607,uspG,-,641126,D,131,641090,36
b0611,rna,-,644257,D,124,644226,31
b0621,dcuC,-,655306,ND,,655191,115
b0628,lipA,-,659524,D,13,659439,85
b0631,ybeD,-,661929,D,316,661865,64
b0637,ybeB,-,668295,D,54,668259,36
G0-9383,sroC,-,686066,D,291,686066,0
b0660,ybeZ,-,692692,D,354,692601,91
b0675,nagD,-,699575,D,41,699549,26
b0676,nagC,-,701088,D,42,700817,271
b0676,nagC,-,701231,D,1,700817,414
b0677,nagA,-,702398,D,7,701974,424
b0678,nagB,-,702931,D,119,702834,97
b0683,fur,-,709939,D,1628,709869,70
b0683,fur,-,709946,D,190,709869,77
b0683,fur,-,710052,D,320,709869,183
b0684,fldA,-,710744,D,479,710688,56
b0691,ybfH,-,715864,D,1,715820,44
b0720,gltA,-,753893,D,2233,753691,202
b0720,gltA,-,753990,D,404,753691,299
b0759,galE,-,791304,D,93,791278,26
b0759,galE,-,791400,ND,,791278,122
b0772,ybhC,-,806544,D,602,806504,40
b0811,glnH,-,847270,D,15,847227,43
b0811,glnH,-,847421,D,7,847227,194
b0812,dps,-,848173,D,13391,848134,39
b0827,moeA,-,865617,D,51,865587,30
b0835,yliG,-,877293,D,105,877258,35
b0838,yliJ,-,879742,D,307,879703,39
b0841,ybjG,-,882731,D,4,882611,120
b4417,rybB,-,887280,D,638,887277,3
b0849,grxA,-,889999,D,68,889976,23
b0860,artJ,-,899849,D,619,899798,51
b0864,artP,-,902992,D,150,902957,35
b0864,artP,-,903038,D,1,902957,81
b0864,artP,-,903059,D,1,902957,102
b0864,artP,-,903066,D,61,902957,109
b0865,ybjP,-,903746,D,100,903690,56
b0870,ltaE,-,908543,D,169,908517,26
b0871,poxB,-,910299,D,69,910272,27
b0873,hcp,-,913068,ND,,913037,31
b0873,hcp,-,913352,ND,,913037,315
b0877,ybjX,-,918326,D,396,918343,-17
b0880,cspD,-,921899,D,498,921813,86
b0884,infA,-,925702,D,2026,925666,36
b0884,infA,-,925908,D,9,925666,242
b0887,cydD,-,930254,ND,,930185,69
b0888,trxB,-,931301,D,415,931273,28
b0903,pflB,-,952802,D,294,952777,25
b0903,pflB,-,952864,D,352,952777,87
b0903,pflB,-,952964,D,861,952777,187
b0903,pflB,-,953074,ND,,952777,297
b0903,pflB,-,953148,D,54,952777,371
b0904,focA,-,953716,D,20,953689,27
b0904,focA,-,953726,D,12,953689,37
b0904,focA,-,954037,ND,,953689,348
b0905,ycaO,-,954095,ND,,955855,-1760
b0928,aspC,-,984966,D,427,984932,34
b0930,asnS,-,988267,D,102,988208,59
b0931,pncB,-,989637,D,32,989579,58
b0937,ssuE,-,996786,D,8,996735,51
b0957,ompA,-,1019410,D,40,1019276,134
b0957,ompA,-,1019414,D,34,1019276,138
b0958,sulA,-,1020170,D,46,1020142,28
b0963,mgsA,-,1026264,D,181,1026238,26
b0970,yccA,-,1030666,D,3107,1030641,25
b0995,torR,-,1057207,D,120,1057177,30
b1000,cbpA,-,1063056,D,282,1062998,58
b1004,wrbA,-,1066981,D,2025,1066931,50
b1014,putA,-,1078148,D,15,1078105,43
b1024,pgaA,-,1091746,D,2,1091512,234
b1040,csgD,-,1102558,D,5,1102419,139
b1040,csgD,-,1102567,D,64,1102419,148
b1051,msyB,-,1113436,D,771,1113404,32
b1054,lpxL,-,1115932,D,9,1115805,127
b1057,yceJ,-,1118294,D,1,1118269,25
b1059,solA,-,1119832,D,93,1119809,23
b1060,bssS,-,1120243,D,10,1120178,65
b1060,bssS,-,1120255,D,111,1120178,77
b1060,bssS,-,1120281,ND,,1120178,103
b1062,pyrC,-,1121866,D,67,1121830,36
b1084,rne,-,1143547,D,1,1143590,-43
b1084,rne,-,1143644,D,2,1143590,54
b1084,rne,-,1143951,D,1,1143590,361
b1084,rne,-,1143985,ND,,1143590,395
b1084,rne,-,1144096,D,21,1143590,506
b1113,ycfS,-,1169640,D,43,1169597,43
b1114,mfd,-,1173215,D,71,1173187,28
b1114,mfd,-,1173251,D,279,1173187,64
b1130,phoP,-,1189706,D,48,1189670,36
b1130,phoP,-,1189714,D,31,1189670,44
b1130,phoP,-,1189731,D,2,1189670,61
b1160,elbA,-,1211313,ND,,1211226,87
b1162,ycgE,-,1213336,D,73,1213282,54
b1182,hlyE,-,1229689,D,2,1229617,72
b1188,ycgB,-,1236508,D,2,1236464,44
b1197,treA,-,1246648,D,34,1246599,49
b1203,ychF,-,1257105,D,570,1257035,70
b1204,pth,-,1257765,D,141,1257736,29
b1231,tyrT,-,1286888,D,9,1286845,43
b1233,ychJ,-,1288400,D,109,1288355,45
b1237,hns,-,1292181,D,1704,1292145,36
b1241,adhE,-,1297532,D,4,1297344,188
b1241,adhE,-,1297636,D,5,1297344,292
b1249,cls,-,1306691,D,50,1306669,22
b1251,yciI,-,1308916,D,1048,1308889,27
b1262,trpC,-,1317968,ND,,1317809,159
b1277,ribA,-,1337214,D,117,1337184,30
b1277,ribA,-,1337258,D,1,1337184,74
b1283,osmB,-,1341393,D,122,1341352,41
b1283,osmB,-,1341500,D,31,1341352,148
b4596,yciZ,-,1342662,D,32,1342633,29
b1285,gmr,-,1344867,D,32,1344766,101
b1286,rnb,-,1346968,D,117,1346936,32
b1286,rnb,-,1347153,D,23,1346936,217
b1288,fabI,-,1348903,D,4,1349063,-160
b1288,fabI,-,1349142,D,94,1349063,79
b1303,pspF,-,1365953,D,2,1365936,17
b1303,pspF,-,1365969,D,16,1365936,33
b1303,pspF,-,1366064,ND,,1365936,128
b1324,tpx,-,1386868,D,2078,1386835,33
b1330,ynaI,-,1393997,ND,,1393946,51
b1333,uspE,-,1396683,D,668,1396646,37
b1376,uspF,-,1433665,D,143,1433643,22
b1379,hslJ,-,1439804,D,55,1439767,37
b1380,ldhA,-,1440939,D,122,1440867,72
b1387,maoC,-,1451694,ND,,1451666,28
b4597,rydC,-,1489530,D,42,1489530,0
b1453,ansP,-,1524035,D,6,1524004,31
b1453,ansP,-,1524044,ND,,1524004,40
b1466,narW,-,1536711,ND,,1535333,1378
b1480,sra,-,1554070,D,60,1553987,83
b1481,bdm,-,1554364,D,1,1554304,60
b1493,gadB,-,1570096,D,331,1570069,27
b1508,hipB,-,1590506,D,16,1590466,40
b1529,marC,-,1616965,D,8,1616932,33
b1535,ydeH,-,1621901,D,10,1621874,27
b1535,ydeH,-,1621903,ND,,1621874,29
b1550,gnsB,-,1635870,D,344,1635806,64
b1552,cspI,-,1636836,D,1,1636691,145
b1564,relB,-,1643927,D,556,1643896,31
b1594,dgsA,-,1666615,D,5,1666588,27
b1594,dgsA,-,1666627,D,49,1666588,39
b1611,fumC,-,1684733,ND,,1684612,121
b1612,fumA,-,1686464,D,2507,1686401,63
b1617,uidA,-,1694176,ND,,1694095,81
b1619,hdhA,-,1696146,D,48,1696064,82
b1637,tyrS,-,1715293,ND,,1715246,47
b1637,tyrS,-,1715307,D,93,1715246,61
b1638,pdxH,-,1716058,D,36,1716031,27
b1646,sodC,-,1722703,D,48,1722679,24
b1664,ydhQ,-,1744226,D,9,1744151,75
b1674,ydhY,-,1752666,D,1,1752501,165
b1684,sufA,-,1762442,D,208,1762410,32
b1696,ydiP,-,1777352,D,5,1777325,27
b1702,pps,-,1785185,D,81,1785136,49
b1706,ydiU,-,1789278,D,313,1789268,10
b1712,ihfA,-,1793745,D,100,1793576,169
b1715,pheM,-,1797325,D,41,1797294,31
b1716,rplT,-,1797787,D,21,1797773,14
b1717,rpmI,-,1798451,D,111,1798023,428
b1718,infC,-,1798842,D,38,1798662,180
b1718,infC,-,1799370,D,49,1798662,708
b1719,thrS,-,1800757,D,268,1800594,163
b1726,yniB,-,1807287,D,26,1807257,30
b1738,chbB,-,1819750,D,11,1819643,107
b1739,osmE,-,1820307,D,2301,1820280,27
b1742,ves,-,1823008,D,21,1822961,47
b1743,spy,-,1823712,D,21,1823649,63
b1748,astC,-,1830063,D,12,1830006,57
b1748,astC,-,1830068,ND,,1830006,62
b1782,mipA,-,1864530,D,182,1864496,34
b1797,yeaR,-,1878018,ND,,1877972,46
G0-9384,sroD,-,1886126,D,13,1886126,0
b1805,fadD,-,1887831,D,102,1887770,61
b1806,yeaY,-,1888585,D,10,1888556,29
b1816,yoaE,-,1899796,D,22,1899609,187
b1824,yobF,-,1905641,D,1590,1905615,26
b1826,mgrB,-,1906816,D,65,1906790,26
b1829,htpX,-,1910642,D,1010,1910600,42
b1838,pphA,-,1921409,D,1,1920993,416
b1845,ptrB,-,1926889,D,24,1926863,26
b1846,yebE,-,1927756,D,26,1927731,25
b1850,eda,-,1930808,D,55,1930780,28
b1850,eda,-,1930823,D,51,1930780,43
b1850,eda,-,1931133,D,3,1930780,353
b1851,edd,-,1932737,D,14,1932628,109
b1852,zwf,-,1934400,D,677,1934338,62
b1861,ruvA,-,1944040,D,62,1944000,40
b1861,ruvA,-,1944048,D,2,1944000,48
b1866,aspS,-,1948641,D,1047,1948546,95
b1866,aspS,-,1948725,ND,,1948546,179
b1874,cutC,-,1957010,ND,,1957290,-280
b1886,tar,-,1970740,D,171,1970715,25
b1892,flhD,-,1976419,D,7,1976221,198
b1894,insA-5,-,1977250,ND,,1977239,11
b1896,otsA,-,1979675,D,125,1979636,39
b1897,otsB,-,1980489,ND,,1980411,78
b1901,araF,-,1984262,ND,,1984152,110
b1919,dcyD,-,1997532,D,181,1997504,28
b1922,fliA,-,1999832,D,21,1999813,19
b1922,fliA,-,1999843,D,126,1999813,30
b1923,fliC,-,2001700,D,951,2001630,70
b1987,cbl,-,2058965,D,48,2058938,27
b1988,nac,-,2060002,D,3,2059957,45
b1993,cobU,-,2063898,ND,,2063788,110
b1993,cobU,-,2063996,ND,,2063788,208
b1997,insC-3,-,2068232,ND,,2068249,-17
b2009,sbmC,-,2079327,D,8,2079286,41
b2009,sbmC,-,2079349,D,16,2079286,63
b2013,yeeE,-,2083576,D,24,2083549,27
b2029,gnd,-,2099348,D,462,2099292,56
b2042,galF,-,2112375,D,109,2112351,24
b2062,wza,-,2135217,ND,,2135267,-50
b2062,wza,-,2135607,ND,,2135267,340
b2068,alkA,-,2145583,D,11,2145564,19
b2095,gatZ,-,2174454,D,827,2174343,111
b2096,gatY,-,2175256,D,3817,2175226,30
b2097,fbaB,-,2176689,ND,,2176586,103
b2104,thiM,-,2183473,D,29,2183323,150
b2131,osmF,-,2217545,D,109,2217503,42
b2150,mglB,-,2238588,D,3,2238370,218
b2151,galS,-,2239732,D,7,2239690,42
b2155,cirA,-,2244951,D,16,2244791,160
b2155,cirA,-,2244964,ND,,2244791,173
b2156,lysP,-,2246582,D,95,2246554,28
b2162,rihB,-,2253274,ND,,2253208,66
b2208,napF,-,2301596,D,1,2301519,77
b2208,napF,-,2301599,ND,,2301519,80
b2208,napF,-,2301717,ND,,2301519,198
b2213,ada,-,2308449,D,1,2308427,22
b2215,ompC,-,2310850,D,16,2310771,79
b2215,ompC,-,2310852,D,36,2310771,81
b2215,ompC,-,2310886,D,16,2310771,115
b2215,ompC,-,2310909,D,9,2310771,138
b2237,inaA,-,2347521,D,28,2347494,27
b2249,yfaY,-,2361677,D,12,2361655,22
b2288,nuoA,-,2403184,D,113,2403094,90
b2288,nuoA,-,2403357,ND,,2403094,263
b2309,hisJ,-,2424859,D,628,2424810,49
b2313,cvpA,-,2428792,D,5,2428785,7
b2313,cvpA,-,2428822,D,14,2428785,37
b2316,accD,-,2432037,D,544,2431948,89
b2319,usg,-,2434912,D,2,2434671,241
b2320,pdxB,-,2435906,D,69,2435873,33
b2340,sixA,-,2455021,D,7,2454834,187
b2343,yfcZ,-,2459001,D,487,2458956,45
b2346,vacJ,-,2463157,D,128,2463029,128
b2368,emrK,-,2481470,D,1,2481361,109
b2388,glk,-,2507469,D,20,2507448,21
b2388,glk,-,2507484,D,36,2507448,36
b2400,gltX,-,2518752,D,186,2518694,58
b2400,gltX,-,2518798,D,66,2518694,104
b2400,gltX,-,2518806,D,15,2518694,112
b2405,xapR,-,2520527,D,4,2520499,28
b2405,xapR,-,2520585,ND,,2520499,86
b2407,xapA,-,2522932,D,4,2522900,32
b2411,ligA,-,2528223,ND,,2528198,25
b2418,pdxK,-,2535341,D,1,2535259,82
b2426,ucpA,-,2542686,D,157,2542645,41
b2426,ucpA,-,2542693,D,25,2542645,48
b2432,yfeY,-,2549265,D,16,2549238,27
b2477,bamC,-,2597036,D,5,2596887,149
b2478,dapA,-,2597806,D,354,2597782,24
b2498,upp,-,2618931,D,1771,2618894,37
b2508,guaB,-,2632129,D,8663,2632092,37
b2512,bamB,-,2636997,D,14,2636674,323
b2513,yfgM,-,2637392,D,63,2637305,87
b2513,yfgM,-,2637424,D,1,2637305,119
b2513,yfgM,-,2637455,D,5,2637305,150
b2514,hisS,-,2638664,D,4,2638597,67
b2520,yfhM,-,2650346,D,4,2650309,37
b2526,hscA,-,2657014,D,196,2656957,57
b2531,iscR,-,2660220,D,76,2660153,67
b2532,trmJ,-,2661292,ND,,2661345,-53
b2537,hcaR,-,2666986,ND,,2666918,68
b2551,glyA,-,2683596,D,1335,2683529,67
b2553,glnB,-,2685463,D,303,2685430,33
b2553,glnB,-,2685548,D,162,2685430,118
b4441,glmY,-,2689362,D,300,2689362,0
b2564,pdxJ,-,2699835,D,61,2699751,84
b2567,rnc,-,2702245,D,50,2702085,160
b2569,lepA,-,2705218,D,27,2705146,72
b2572,rseA,-,2707654,D,82,2707426,228
b2573,rpoE,-,2708109,D,24,2708034,75
b2573,rpoE,-,2708208,D,2,2708034,174
b2579,yfiD,-,2714545,D,2461,2714471,74
b2592,clpB,-,2732227,D,3582,2732195,32
b4609,ryfD,-,2732317,D,1038,2732317,0
b2601,aroF,-,2739223,D,30,2739172,51
b2609,rpsP,-,2744276,D,3465,2744207,69
b2610,ffh,-,2745875,D,394,2745817,58
b2614,grpE,-,2748769,D,3716,2748730,39
b2669,stpA,-,2796558,D,315,2796517,41
b2669,stpA,-,2796578,D,37,2796517,61
b2669,stpA,-,2796600,D,6,2796517,83
b2696,csrA,-,2817295,D,447,2817168,127
b2697,alaS,-,2820112,D,3061,2820033,79
b2700,ygaD,-,2822416,D,1,2822368,48
b2709,norR,-,2830329,D,31,2830311,18
b2713,hydN,-,2836154,D,1,2836127,27
b2725,hycA,-,2848483,D,1,2848457,26
b2732,ygbA,-,2854850,ND,,2854828,22
b2735,ygbI,-,2859278,D,311,2859286,-8
b2741,rpoS,-,2865589,D,37,2865573,16
b2741,rpoS,-,2865629,D,4,2865573,56
b2741,rpoS,-,2865676,D,49,2865573,103
b2741,rpoS,-,2865746,D,11,2865573,173
b2741,rpoS,-,2866140,D,223,2865573,567
b2742,nlpD,-,2866804,D,17,2866775,29
b2742,nlpD,-,2866851,D,11,2866775,76
b2744,surE,-,2868708,D,2,2868296,412
b2752,cysD,-,2874390,D,683,2874351,39
b2754,ygbF,-,2876937,D,3,2876875,62
b2779,eno,-,2906039,D,6972,2905963,76
b2779,eno,-,2906696,D,1,2905963,733
b2779,eno,-,2906724,D,1,2905963,761
b2779,eno,-,2906868,D,1,2905963,905
b2780,pyrG,-,2907735,D,105,2907688,47
b2783,chpR,-,2909377,D,20,2909361,16
b2783,chpR,-,2909390,D,56,2909361,29
b2784,relA,-,2911851,D,15,2911673,178
b2784,relA,-,2912299,D,1,2911673,626
b2785,rumA,-,2913065,ND,,2913022,43
b4408,csrB,-,2922546,D,382,2922537,9
b2808,gcvA,-,2940661,D,95,2940589,72
b2821,ptrA,-,2957033,D,11,2956906,127
b2822,recC,-,2960529,D,2,2960450,79
b4444,omrA,-,2974211,D,14,2974211,0
b4445,omrB,-,2974407,D,9,2974407,0
b2841,araE,-,2980230,D,14,2980204,26
b2869,ygeV,-,3003869,D,3,3003808,61
b2893,dsbC,-,3036856,D,36,3036844,12
b2893,dsbC,-,3037655,ND,,3036844,811
b2894,xerD,-,3037873,D,5,3037765,108
b2897,ygfY,-,3039121,D,73,3039092,29
b2905,gcvT,-,3048794,D,283,3048689,105
b2913,serA,-,3056478,D,57,3056432,46
b2913,serA,-,3056571,ND,,3056432,139
b2914,rpiA,-,3057375,D,317,3057347,28
b2922,yggE,-,3066148,D,680,3066102,46
b2922,yggE,-,3066207,ND,,3066102,105
b2923,argO,-,3066858,D,7,3066830,28
b2924,mscS,-,3067893,D,670,3067829,64
b2926,pgk,-,3070879,D,168,3070644,235
b2927,epd,-,3071845,D,200,3071713,132
b2935,tktA,-,3079729,D,788,3079657,72
b2958,yggN,-,3099662,D,1,3099645,17
b2958,yggN,-,3099766,D,7,3099645,121
b2958,yggN,-,3099820,D,50,3099645,175
b2970,yghF,-,3110921,D,2,3110942,-21
b2979,glcD,-,3126098,D,4,3126043,55
b2988,gsp,-,3136632,D,3,3136544,88
b2997,hybO,-,3144385,D,13,3144283,102
b3041,ribB,-,3182740,D,9,3182488,252
b3049,glgS,-,3190024,D,343,3189961,63
b3049,glgS,-,3190034,D,1,3189961,73
b3057,bacA,-,3202197,D,34,3202153,44
b3118,tdcA,-,3265115,ND,,3265087,28
b3123,rnpB,-,3268614,D,47,3268614,0
b3131,agaR,-,3276725,D,65,3276687,38
b3157,yhbT,-,3299323,D,153,3299298,25
b3157,yhbT,-,3299390,D,1,3299298,92
b3161,mtr,-,3303882,D,17,3303839,43
b3161,mtr,-,3303954,D,3,3303839,115
b3164,pnp,-,3309348,ND,,3309190,158
b3165,rpsO,-,3309808,D,294,3309706,102
b3170,yhbC,-,3316197,D,16,3316034,163
b3171,metY,-,3316319,D,1143,3316311,8
b3171,metY,-,3316397,D,155,3316311,86
b3175,secG,-,3320609,D,40,3320527,82
b3175,secG,-,3320612,D,70,3320527,85
b3179,rrmJ,-,3325753,D,147,3325686,67
b3179,rrmJ,-,3325782,ND,,3325686,96
b3181,greA,-,3326874,D,78,3326737,137
b3210,arcB,-,3351071,D,13,3351047,24
b3225,nanA,-,3371642,D,28,3371598,44
b3251,mreB,-,3399151,D,132,3399109,42
b3251,mreB,-,3399215,D,816,3399109,106
b3251,mreB,-,3399378,ND,,3399109,269
b3278,rrsD,-,3426962,D,3,3426784,178
b3278,rrsD,-,3427069,D,23,3426784,285
b4473,smf,-,3431708,ND,,3431582,126
b3293,yhdN,-,3437568,D,8,3437531,37
b3298,rpsM,-,3440517,D,175,3440493,24
b3298,rpsM,-,3440587,D,3034,3440493,94
b3310,rplN,-,3446244,D,282,3446171,73
b3321,rpsJ,-,3451464,D,131,3451292,172
b3323,gspA,-,3453517,ND,,3453420,97
b3323,gspA,-,3453532,ND,,3453420,112
b3323,gspA,-,3453541,ND,,3453420,121
b3323,gspA,-,3453656,ND,,3453420,236
b3338,chiA,-,3467918,ND,,3467875,43
b3340,fusA,-,3471707,D,6,3471536,171
b3342,rpsL,-,3472643,D,1027,3472574,69
b3346,yheO,-,3474528,D,12,3474462,66
b3346,yheO,-,3474563,D,14,3474462,101
b3347,fkpA,-,3475521,D,4,3475441,80
b3347,fkpA,-,3475547,D,65,3475441,106
b3356,yhfA,-,3483973,D,6,3483840,133
b3362,yhfG,-,3489669,D,136,3489642,27
b3363,ppiA,-,3490357,D,60,3490319,38
b3384,trpS,-,3511719,D,420,3511660,59
b3386,rpe,-,3513175,D,25,3513081,94
b3387,dam,-,3514004,ND,,3513935,69
b3387,dam,-,3514274,D,15,3513935,339
b3388,damX,-,3515622,D,1,3515328,294
b3390,aroK,-,3517189,D,50,3517086,103
b3390,aroK,-,3517402,D,69,3517086,316
b3405,ompR,-,3534661,D,3,3534606,55
b3405,ompR,-,3534707,D,80,3534606,101
b3405,ompR,-,3534729,D,17,3534606,123
b3405,ompR,-,3534777,D,31,3534606,171
b3416,malQ,-,3548421,ND,,3548092,329
b3417,malP,-,3550532,D,197,3550495,37
b3421,rtcB,-,3556129,D,3,3556101,28
b3423,glpR,-,3558779,D,3,3558628,151
b3423,glpR,-,3558914,D,2,3558628,286
b3424,glpG,-,3559503,D,11,3559475,28
b3425,glpE,-,3559872,D,34,3559846,26
b3430,glgC,-,3567412,D,71,3567351,61
b3430,glgC,-,3567478,D,151,3567351,127
b3430,glgC,-,3567594,D,68,3567351,243
b3437,gntK,-,3575668,D,12,3575615,53
b3438,gntR,-,3576841,D,1,3576749,92
b3438,gntR,-,3576885,ND,,3576749,136
b3438,gntR,-,3576903,ND,,3576749,154
b4451,ryhB,-,3579039,D,49,3579039,0
b3458,livK,-,3595753,D,1230,3595583,170
b3458,livK,-,3595778,D,214,3595583,195
b3460,livJ,-,3597785,D,724,3597681,104
b3461,rpoH,-,3598836,D,47,3598806,30
b3461,rpoH,-,3598872,D,49,3598806,66
b3461,rpoH,-,3598886,D,279,3598806,80
b3461,rpoH,-,3598893,D,135,3598806,87
b3461,rpoH,-,3599026,D,16,3598806,220
b3494,uspB,-,3637871,D,55,3637743,128
b3498,prlC,-,3643261,D,896,3643205,56
b3510,hdeA,-,3654814,D,542,3654763,51
b3516,gadX,-,3663862,D,88,3663833,29
b3517,gadA,-,3665630,D,34,3665603,27
b3518,yhjA,-,3667284,D,1,3667211,73
b3527,yhjJ,-,3680039,D,5,3679963,76
b3528,dctA,-,3681521,D,12,3681470,51
b4453,ldrD,-,3698295,D,4,3698110,185
b3544,dppA,-,3705893,D,18,3705728,165
b3554,yiaF,-,3717120,D,2,3717067,53
b3565,xylA,-,3728830,D,9,3728788,42
b3574,yiaJ,-,3740641,ND,,3740555,86
b3588,aldB,-,3754558,D,22,3754534,24
b3592,yibF,-,3759998,D,34,3759978,20
b3632,rfaQ,-,3806203,D,9,3806121,82
b3632,rfaQ,-,3806261,D,21,3806121,140
b3635,mutM,-,3809198,D,33,3809175,23
b3637,rpmB,-,3810018,D,9,3809697,321
b3638,yicR,-,3810600,ND,,3810582,18
b3657,yicJ,-,3834687,ND,,3833952,735
b3661,nlpA,-,3838040,D,1442,3838016,24
b3662,nepI,-,3839794,D,6,3839762,32
b3666,uhpT,-,3845221,ND,,3845190,31
b3672,ivbL,-,3851046,D,87,3851011,35
b4616,istR,-,3851215,D,2,3851280,-65
b4616,istR,-,3851280,D,1,3851280,0
b3686,ibpB,-,3865004,D,740,3864920,84
b3687,ibpA,-,3865541,D,242,3865445,96
b3699,gyrB,-,3878173,D,186,3878142,31
b3700,recF,-,3879864,D,6,3879244,620
b3700,recF,-,3879884,D,23,3879244,640
b3701,dnaN,-,3880371,D,143,3880344,27
b3701,dnaN,-,3880585,D,79,3880344,241
b3701,dnaN,-,3880613,D,1,3880344,269
b3701,dnaN,-,3880756,D,11,3880344,412
b3723,bglG,-,3904720,D,3,3904590,130
b3728,pstS,-,3909591,D,5,3909548,43
b3730,glmU,-,3913246,D,2432,3913223,23
b3730,glmU,-,3913349,D,133,3913223,126
b3742,mioC,-,3924498,D,50,3924478,20
b3743,asnC,-,3925054,D,8,3925026,28
b3746,ravA,-,3929151,D,45,3929116,35
b3773,ilvY,-,3955890,D,11,3955843,47
b3775,ppiC,-,3957864,D,21,3957836,28
b3820,yigI,-,4002747,D,32,4002720,27
b3828,metR,-,4010860,D,24,4010839,21
b3828,metR,-,4010878,D,58,4010839,39
b3857,mobA,-,4040053,D,1,4040022,31
b3857,mobA,-,4040144,ND,,4040022,122
b3862,yihG,-,4044675,D,4,4044625,50
b3869,glnL,-,4054394,D,2,4054362,32
b3870,glnA,-,4056130,D,59,4056057,73
b3870,glnA,-,4056245,D,6,4056057,188
b3904,rhaB,-,4095495,ND,,4095471,24
b3919,tpiA,-,4109592,D,2263,4109530,62
b3927,glpF,-,4116184,ND,,4116113,71
b3929,rraA,-,4117378,D,367,4117353,25
b3929,rraA,-,4117381,D,77,4117353,28
b3930,menA,-,4118421,D,159,4118372,49
b3930,menA,-,4118429,D,187,4118372,57
